ID,SMILES,Filtered Abnormal Hepatic Fun _IC50,Filtered Cholecystiti_IC50,Filtered Cholelitiasi_IC50,Filtered Cholestasi_IC50,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatic Steatosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoBiliary disorder_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatomegaly_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
44,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,-0.133417322936451,,,-0.1287057872520401,,,,,-0.0652868112495837,,-0.1504118973026948,,-0.4889084444947424,0.0906534771486241,-0.223401470762978,-0.2127700768319662
45,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.7416439404552488,,,2.047385471803641,,,1.8744794983635968,,1.809774452142116,,,,,,1.3506297969647407,
46,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.0426739361192301,0.1148194089047454,-0.0648808504143517,,-0.824490505972422,0.0602311952317714,-0.4265504973003843,,-0.4912555435218649,,,0.0495998013007596,,0.4885934858206618,-0.6493702030352592,
47,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.3437039317832113,,,,,,,,0.1073660161893686,,,,0.2856725055288767,,0.3484154674676222,0.2537197839566844
48,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,0.7874014310159241,,,,,,,,,,,,,,,
49,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,0.2645226857355865,,,,,0.2537197839566844,,,0.5798803496968263,,,,0.2856725055288767,0.226717591226927,,0.3484154674676222
50,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1,2.1395839491272866,,,,,,,,,,,,,,,
51,O=P1(N(CCCl)CCCl)NCCCO1,2.0426739361192303,,,1.898090824052881,,1.9526897882927032,0.7806470490763178,,1.9526897882927032,,,1.9348810677864807,,,1.047385471803641,
52,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,-0.0365073099283946,,,,,,,,,,,,,,,
53,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,-0.3545318799586196,,,,,,,-0.4754805531782688,-0.1264914577549215,,-0.6994298760544309,-0.4453301739251248,-0.2001679878874717,-0.4275214534189028,-0.2047017476840279,
54,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1.1225893747610427,,2.21331646890609,,,1.4755685335730409,,1.0372019880318668,1.651659792628722,1.4579232561437567,0.9026301152735317,0.9595457876696616,1.879013258160153,1.0495998013007597,1.5734495026996156,
55,Cc1c(O)c(=O)ccn1C,0.8495881026973051,,0.9178449702784168,,,0.776598529237022,,,0.776598529237022,0.7948596752897429,,1.9143537366369112,,,2.161807066589355,
56,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,0.423619370425024,,,,,,,,,0.6067563733894594,,,0.2769532668321907,0.3506297969647408,,0.4453254804756786
