ID,SMILES,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
37,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,-0.9488950917058288,,,-1.325554070591011,-0.7983929978909716,,-0.7394619564801159,-0.8658452135649223,
38,COc1ccc2cc(CCC(C)=O)ccc2c1,-0.7728038326501474,,,,,,,,
39,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-0.4486323549963075,,-0.7873314078070708,-0.2722351470150437,,,,-0.3828069441286386,
40,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,-0.1320245610155487,,,,,,,-0.0817769484646573,
41,COc1ccnc(/C=S(\[O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,0.2659154476564889,0.7946500926148222,,0.6939708413969563,0.0782135619475225,,,0.9182230515353428,
42,CC(C)(S)[C@H](N)C(=O)O,-0.8309945653515676,2.6977400796067657,,-0.7196732199985912,,,,,
43,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,0.81682291653707,1.044527565831422,,0.9281442618900464,0.9040985496620632,,,,
44,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,2.470035430312413,2.095680088278804,,1.979296784337428,,,1.918223051535343,1.909019515446818,2.069989814347243
45,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,0.1690054346484324,0.3967100839427847,0.1704861406945331,-0.3217332113265536,-0.3457789235545367,0.1382268874221281,0.0431617881436425,-0.2800337592697734,0.0511049082941713
46,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,1.1690054346484324,0.7946500926148222,0.8679754389844513,1.0593267064538077,,,0.6079895197828368,0.6045351887950303,0.8248504097684851
47,CC(C)C[C@H](CN)CC(=O)O,-0.0070858244072487,-0.1246059050746323,,-0.1883188908987415,0.0801898087177444,,-0.3084644287670883,-0.2705260745966697,
48,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,0.7744045455488179,,,,,,,0.8086551714509551,
49,CCCc1cc(=O)[nH]c(=S)[nH]1,-0.4808679595544883,,,0.1127111047652396,,,,,
